2026-01-16 19:14:46,huwakiti (不和基地),AmyBoy1025
2026-01-16 19:14:51,anosa (あのさ),AmyBoy1025
2026-01-16 19:14:56,今の方法だとさ,AmyBoy1025
2026-01-16 19:15:01,時間かかりすぎるやん？,AmyBoy1025
2026-01-16 19:15:15,もうなんならさ,AmyBoy1025
2026-01-16 19:15:26,買ったほうも当たってるか見るのだるいやん？,AmyBoy1025
2026-01-16 19:15:40,じゃあもうさ,AmyBoy1025
2026-01-16 19:16:18,店頭で0~5の6桁の番号適当に言って、下何桁か当たってるので何等ですってしたほうがはやくない？,AmyBoy1025
2026-01-16 19:16:20,んでさ,AmyBoy1025
2026-01-16 19:16:32,ダイヤ1は1.5倍、2は2倍、3，4，5ってやったら,AmyBoy1025
2026-01-16 19:16:37,ダイヤを払う意味も出るやん？,AmyBoy1025
2026-01-16 19:16:51,どうおもう＞,AmyBoy1025
2026-01-16 19:17:51,たださ,AmyBoy1025
2026-01-16 19:17:58,そのルールだとさ,AmyBoy1025
2026-01-16 19:18:18,最下の6等が当たったとしても全額戻ってくるわけよ,AmyBoy1025
2026-01-16 19:18:36,a~ne (あ〜ね),AmyBoy1025
2026-01-16 19:19:30,nn~~ (ん〜〜),AmyBoy1025
2026-01-16 19:21:25,u~n (う〜ん),AmyBoy1025
2026-01-16 19:22:08,でもさ,AmyBoy1025
2026-01-16 19:22:13,自分から案だしといてなんだけどさ,AmyBoy1025
2026-01-16 19:22:20,それって宝くじか？,AmyBoy1025
2026-01-16 19:23:16,やっぱ前のくじがコスパ良かったよなあ,AmyBoy1025
2026-01-16 19:23:32,どうしようね,AmyBoy1025
2026-01-16 19:24:13,一番難しいところがさ,AmyBoy1025
2026-01-16 19:24:30,違う名前の紙を重ねれないいだよな・・・,AmyBoy1025
2026-01-16 19:24:44,576枚って言ってた,AmyBoy1025
2026-01-16 19:24:47,だからもう,AmyBoy1025
2026-01-16 19:24:58,10.5ラージくらい,AmyBoy1025
2026-01-16 19:25:04,いやもう,AmyBoy1025
2026-01-16 19:25:06,馬鹿やん？,AmyBoy1025
2026-01-16 19:25:11,だからさ,AmyBoy1025
2026-01-16 19:25:15,一番宝くじっぽくはあるけど,AmyBoy1025
2026-01-16 19:25:18,すげえ馬鹿なのよ,AmyBoy1025
2026-01-16 19:26:14,いやあのさ・・・,AmyBoy1025
2026-01-16 19:26:28,宝くじ10枚で終わらす奴おる？？,AmyBoy1025
2026-01-16 19:26:32,くっそおもんないやん,AmyBoy1025
2026-01-16 19:26:37,それ宝くじじゃないねん,AmyBoy1025
2026-01-16 19:26:45,負けイベくじ10回回してるだけやねん,AmyBoy1025
2026-01-16 19:26:58,正直おもんない,AmyBoy1025
2026-01-16 19:27:07,10ダイヤ減りました、うわ～,AmyBoy1025
2026-01-16 19:27:08,で,AmyBoy1025
2026-01-16 19:27:09,終わり,AmyBoy1025
2026-01-16 19:27:13,んで、おもしろかったですか？,AmyBoy1025
2026-01-16 19:27:16,クソですよね,AmyBoy1025
2026-01-16 19:27:22,いやまあ,AmyBoy1025
2026-01-16 19:27:27,枚数制限付けるにしても,AmyBoy1025
2026-01-16 19:27:43,こっちが楽なように極端に少ない数字だと,AmyBoy1025
2026-01-16 19:27:47,おもんないから,AmyBoy1025
2026-01-16 19:28:27,もう一匹いねえといみねえ,AmyBoy1025
2026-01-16 19:28:37,まあ捨てだな,AmyBoy1025
2026-01-16 19:28:52,どうしようか,AmyBoy1025
